Word,Definition
erratic,Adj反复无常的
impassive,Adj无感情的
galvanize,v激励
egregious,Adj破坏的
Auspicious,有利的
Contention,争论
innocuous,无害的
expedite,迅速完成
ethereal,飘渺超凡的
judicious,明智的
Quiescence,静止
fanciful,空想的，不现实的
Jejune,乏味的
Dogmatic,固执己见的
Parochialism,狭隘
forbear,忍耐
purport,自称
Erratic,反复无常
surfeit,N过量
manifest,表明，明显的
undercut,削弱
insipid,枯燥的
Conjure up,想起
paucity,缺乏
pragmatic,实际的
jubilant,欢呼的
enervate,使衰弱
circumscribe,限制
Foreground,强调，突出
circumvent,避免
proselytizer,改变宗教信仰者
deliberation,深思熟虑
intelligible,明白易懂的
voluble,爱说话的
orthodox,传统
slumber,睡眠
somnolent,瞌睡的
lethargic,昏睡的
impartial,公平的，不偏不倚的
befuddled,迷糊的
laconic,言简意赅的
inveterate,根深蒂固的
premeditate,预先考虑
embolden,鼓励
encumber,妨碍
derisive,嘲笑的
lambast,严厉斥责某人
aversion,厌恶
entail,牵扯
antecedent,在先的
demise,消亡
Enliven,使生动
Admonish,训诫，轻责
teem,充满
roil,扰乱
Ebb,减少
underrate,轻视
disseminate,散步
molder,腐朽
stratify,按等级分化的
recant,公开宣布放弃（原先的信仰，观点等）
concede,让步
rosy,乐观的
tribute,致敬，颂词
Publicity,N媒体的关注，宣传
